Chimera compiler, version 0.1
Copyright © 2013 by Andres, Ian, Servio, ITESM CEM.
[127] {PARENTHESIS_OPEN, "(", @(50, 14)}
[128] {IDENTIFIER, "lst", @(51, 9)}
[129] {TYPE_DECLARE, ":", @(51, 12)}
[130] {LIST, "list", @(51, 14)}
[131] {OF, "of", @(51, 19)}
[132] {INTEGER, "integer", @(51, 22)}
[133] {END_OF_EXPRESSION, ";", @(51, 29)}
[134] {PARENTHESIS_CLOSE, ")", @(52, 5)}
[135] {TYPE_DECLARE, ":", @(52, 6)}
[136] {INTEGER, "integer", @(52, 8)}
[137] {END_OF_EXPRESSION, ";", @(52, 15)}
[138] {VAR, "var", @(54, 5)}
[139] {IDENTIFIER, "largest", @(55, 9)}
[140] {COMMA, ",", @(55, 16)}
[141] {IDENTIFIER, "i", @(55, 18)}
[142] {COMMA, ",", @(55, 19)}
[143] {IDENTIFIER, "n", @(55, 21)}
[144] {TYPE_DECLARE, ":", @(55, 22)}
[145] {INTEGER, "integer", @(55, 24)}
[146] {END_OF_EXPRESSION, ";", @(55, 31)}
[147] {BEGIN, "begin", @(57, 5)}
[148] {IDENTIFIER, "n", @(58, 9)}
[149] {ASSIGN, ":=", @(58, 11)}
[150] {IDENTIFIER, "LenLstInt", @(58, 14)}
[151] {PARENTHESIS_OPEN, "(", @(58, 23)}
[152] {IDENTIFIER, "lst", @(58, 24)}
[153] {PARENTHESIS_CLOSE, ")", @(58, 27)}
[154] {END_OF_EXPRESSION, ";", @(58, 28)}
[155] {IF, "if", @(60, 9)}
[156] {IDENTIFIER, "n", @(60, 12)}
[157] {EQUAL, "=", @(60, 14)}
[158] {INT_LITERAL, "0", @(60, 16)}
[159] {THEN, "then", @(60, 18)}
[160] {RETURN, "return", @(61, 13)}
[161] {INT_LITERAL, "0", @(61, 20)}
[162] {END_OF_EXPRESSION, ";", @(61, 21)}
[163] {END, "end", @(62, 9)}
[164] {END_OF_EXPRESSION, ";", @(62, 12)}
[165] {IDENTIFIER, "largest", @(64, 9)}
[166] {ASSIGN, ":=", @(64, 17)}
[167] {IDENTIFIER, "lst", @(64, 20)}
[168] {BRACKET_OPEN, "[", @(64, 23)}
[169] {INT_LITERAL, "0", @(64, 24)}
[170] {BRACKET_CLOSE, "]", @(64, 25)}
[171] {END_OF_EXPRESSION, ";", @(64, 26)}
[172] {IDENTIFIER, "i", @(66, 9)}
[173] {ASSIGN, ":=", @(66, 11)}
[174] {INT_LITERAL, "1", @(66, 14)}
[175] {END_OF_EXPRESSION, ";", @(66, 15)}
[176] {LOOP, "loop", @(68, 9)}
[177] {IF, "if", @(69, 13)}
[178] {NOT, "not", @(69, 16)}
[179] {PARENTHESIS_OPEN, "(", @(69, 19)}
[180] {IDENTIFIER, "i", @(69, 20)}
[181] {LESS_THAN, "<", @(69, 22)}
[182] {IDENTIFIER, "n", @(69, 24)}
[183] {PARENTHESIS_CLOSE, ")", @(69, 25)}
[184] {THEN, "then", @(69, 27)}
[185] {EXIT, "exit", @(70, 17)}
[186] {END_OF_EXPRESSION, ";", @(70, 21)}
[187] {ELSEIF, "elseif", @(71, 13)}
[188] {IDENTIFIER, "lst", @(71, 20)}
[189] {BRACKET_OPEN, "[", @(71, 23)}
[190] {IDENTIFIER, "i", @(71, 24)}
[191] {BRACKET_CLOSE, "]", @(71, 25)}
[192] {MORE_THAN, ">", @(71, 27)}
[193] {IDENTIFIER, "largest", @(71, 29)}
[194] {THEN, "then", @(71, 37)}
[195] {IDENTIFIER, "largest", @(72, 17)}
[196] {ASSIGN, ":=", @(72, 25)}
[197] {IDENTIFIER, "lst", @(72, 28)}
[198] {BRACKET_OPEN, "[", @(72, 31)}
[199] {IDENTIFIER, "i", @(72, 32)}
[200] {BRACKET_CLOSE, "]", @(72, 33)}
[201] {END_OF_EXPRESSION, ";", @(72, 34)}
[202] {END, "end", @(73, 13)}
[203] {END_OF_EXPRESSION, ";", @(73, 16)}
[204] {IDENTIFIER, "i", @(74, 13)}
[205] {ASSIGN, ":=", @(74, 15)}
[206] {IDENTIFIER, "i", @(74, 18)}
[207] {PLUS, "+", @(74, 20)}
[208] {INT_LITERAL, "1", @(74, 22)}
[209] {END_OF_EXPRESSION, ";", @(74, 23)}
[210] {END, "end", @(75, 9)}
[211] {END_OF_EXPRESSION, ";", @(75, 12)}
[212] {RETURN, "return", @(77, 9)}
[213] {IDENTIFIER, "largest", @(77, 16)}
[214] {END_OF_EXPRESSION, ";", @(77, 23)}
[215] {END, "end", @(78, 5)}
[216] {END_OF_EXPRESSION, ";", @(78, 8)}
[217] {PROCEDURE, "procedure", @(80, 1)}
[218] {IDENTIFIER, "BubbleSort", @(80, 11)}
[219] {PARENTHESIS_OPEN, "(", @(80, 21)}
[220] {IDENTIFIER, "lst", @(81, 9)}
[221] {TYPE_DECLARE, ":", @(81, 12)}
[222] {LIST, "list", @(81, 14)}
[223] {OF, "of", @(81, 19)}
[224] {INTEGER, "integer", @(81, 22)}
[225] {END_OF_EXPRESSION, ";", @(81, 29)}
[226] {PARENTHESIS_CLOSE, ")", @(82, 5)}
[227] {END_OF_EXPRESSION, ";", @(82, 6)}
[228] {VAR, "var", @(84, 5)}
[229] {IDENTIFIER, "i", @(85, 9)}
[230] {COMMA, ",", @(85, 10)}
[231] {IDENTIFIER, "j", @(85, 12)}
[232] {COMMA, ",", @(85, 13)}
[233] {IDENTIFIER, "t", @(85, 15)}
[234] {COMMA, ",", @(85, 16)}
[235] {IDENTIFIER, "n", @(85, 18)}
[236] {TYPE_DECLARE, ":", @(85, 19)}
[237] {INTEGER, "integer", @(85, 21)}
[238] {END_OF_EXPRESSION, ";", @(85, 28)}
[239] {IDENTIFIER, "swap", @(86, 9)}
[240] {TYPE_DECLARE, ":", @(86, 14)}
[241] {BOOLEAN, "boolean", @(86, 15)}
[242] {END_OF_EXPRESSION, ";", @(86, 22)}
[243] {BEGIN, "begin", @(88, 5)}
[244] {IDENTIFIER, "n", @(89, 9)}
[245] {ASSIGN, ":=", @(89, 11)}
[246] {IDENTIFIER, "LenLstInt", @(89, 14)}
[247] {PARENTHESIS_OPEN, "(", @(89, 23)}
[248] {IDENTIFIER, "lst", @(89, 24)}
[249] {PARENTHESIS_CLOSE, ")", @(89, 27)}
[250] {END_OF_EXPRESSION, ";", @(89, 28)}
[251] {IDENTIFIER, "i", @(90, 9)}
[252] {ASSIGN, ":=", @(90, 11)}
[253] {INT_LITERAL, "0", @(90, 14)}
[254] {END_OF_EXPRESSION, ";", @(90, 15)}
[255] {LOOP, "loop", @(91, 9)}
[256] {IF, "if", @(92, 13)}
[257] {IDENTIFIER, "i", @(92, 16)}
[258] {EQUAL, "=", @(92, 18)}
[259] {IDENTIFIER, "n", @(92, 20)}
[260] {MINUS, "-", @(92, 22)}
[261] {INT_LITERAL, "1", @(92, 24)}
[262] {THEN, "then", @(92, 26)}
[263] {EXIT, "exit", @(92, 31)}
[264] {END_OF_EXPRESSION, ";", @(92, 35)}
[265] {END, "end", @(92, 37)}
[266] {END_OF_EXPRESSION, ";", @(92, 40)}
[267] {IDENTIFIER, "swap", @(93, 13)}
[268] {ASSIGN, ":=", @(93, 18)}
[269] {FALSE, "false", @(93, 21)}
[270] {END_OF_EXPRESSION, ";", @(93, 26)}
[271] {IDENTIFIER, "j", @(94, 13)}
[272] {ASSIGN, ":=", @(94, 15)}
[273] {INT_LITERAL, "0", @(94, 18)}
[274] {END_OF_EXPRESSION, ";", @(94, 19)}
[275] {LOOP, "loop", @(95, 13)}
[276] {IF, "if", @(96, 17)}
[277] {IDENTIFIER, "j", @(96, 20)}
[278] {EQUAL, "=", @(96, 22)}
[279] {IDENTIFIER, "n", @(96, 24)}
[280] {MINUS, "-", @(96, 26)}
[281] {IDENTIFIER, "i", @(96, 28)}
[282] {MINUS, "-", @(96, 30)}
[283] {INT_LITERAL, "1", @(96, 32)}
[284] {THEN, "then", @(96, 34)}
[285] {EXIT, "exit", @(97, 21)}
[286] {END_OF_EXPRESSION, ";", @(97, 25)}
[287] {ELSEIF, "elseif", @(98, 17)}
[288] {IDENTIFIER, "lst", @(98, 24)}
[289] {BRACKET_OPEN, "[", @(98, 27)}
[290] {IDENTIFIER, "j", @(98, 28)}
[291] {PLUS, "+", @(98, 29)}
[292] {INT_LITERAL, "1", @(98, 30)}
[293] {BRACKET_CLOSE, "]", @(98, 31)}
[294] {LESS_THAN, "<", @(98, 33)}
[295] {IDENTIFIER, "lst", @(98, 35)}
[296] {BRACKET_OPEN, "[", @(98, 38)}
[297] {IDENTIFIER, "j", @(98, 39)}
[298] {BRACKET_CLOSE, "]", @(98, 40)}
[299] {THEN, "then", @(98, 42)}
[300] {IDENTIFIER, "t", @(99, 21)}
[301] {ASSIGN, ":=", @(99, 23)}
[302] {IDENTIFIER, "lst", @(99, 26)}
[303] {BRACKET_OPEN, "[", @(99, 29)}
[304] {IDENTIFIER, "j", @(99, 30)}
[305] {BRACKET_CLOSE, "]", @(99, 31)}
[306] {END_OF_EXPRESSION, ";", @(99, 32)}
[307] {IDENTIFIER, "lst", @(100, 21)}
[308] {BRACKET_OPEN, "[", @(100, 24)}
[309] {IDENTIFIER, "j", @(100, 25)}
[310] {BRACKET_CLOSE, "]", @(100, 26)}
[311] {ASSIGN, ":=", @(100, 28)}
[312] {IDENTIFIER, "lst", @(100, 31)}
[313] {BRACKET_OPEN, "[", @(100, 34)}
[314] {IDENTIFIER, "j", @(100, 35)}
[315] {PLUS, "+", @(100, 36)}
[316] {INT_LITERAL, "1", @(100, 37)}
[317] {BRACKET_CLOSE, "]", @(100, 38)}
[318] {END_OF_EXPRESSION, ";", @(100, 39)}
[319] {IDENTIFIER, "lst", @(101, 21)}
[320] {BRACKET_OPEN, "[", @(101, 24)}
[321] {IDENTIFIER, "j", @(101, 25)}
[322] {PLUS, "+", @(101, 26)}
[323] {INT_LITERAL, "1", @(101, 27)}
[324] {BRACKET_CLOSE, "]", @(101, 28)}
[325] {ASSIGN, ":=", @(101, 30)}
[326] {IDENTIFIER, "t", @(101, 33)}
[327] {END_OF_EXPRESSION, ";", @(101, 34)}
[328] {IDENTIFIER, "swap", @(102, 21)}
[329] {ASSIGN, ":=", @(102, 26)}
[330] {TRUE, "true", @(102, 29)}
[331] {END_OF_EXPRESSION, ";", @(102, 33)}
[332] {END, "end", @(103, 17)}
[333] {END_OF_EXPRESSION, ";", @(103, 20)}
[334] {IDENTIFIER, "j", @(104, 17)}
[335] {ASSIGN, ":=", @(104, 19)}
[336] {IDENTIFIER, "j", @(104, 22)}
[337] {PLUS, "+", @(104, 24)}
[338] {INT_LITERAL, "1", @(104, 26)}
[339] {END_OF_EXPRESSION, ";", @(104, 27)}
[340] {END, "end", @(105, 13)}
[341] {END_OF_EXPRESSION, ";", @(105, 16)}
[342] {IF, "if", @(106, 13)}
[343] {NOT, "not", @(106, 16)}
[344] {IDENTIFIER, "swap", @(106, 20)}
[345] {THEN, "then", @(106, 25)}
[346] {EXIT, "exit", @(106, 30)}
[347] {END_OF_EXPRESSION, ";", @(106, 34)}
[348] {END, "end", @(106, 36)}
[349] {END_OF_EXPRESSION, ";", @(106, 39)}
[350] {IDENTIFIER, "i", @(107, 13)}
[351] {ASSIGN, ":=", @(107, 15)}
[352] {IDENTIFIER, "i", @(107, 18)}
[353] {PLUS, "+", @(107, 20)}
[354] {INT_LITERAL, "1", @(107, 22)}
[355] {END_OF_EXPRESSION, ";", @(107, 23)}
[356] {END, "end", @(108, 9)}
[357] {END_OF_EXPRESSION, ";", @(108, 12)}
[358] {END, "end", @(109, 5)}
[359] {END_OF_EXPRESSION, ";", @(109, 8)}
[360] {PROGRAM, "program", @(111, 1)}
[361] {IDENTIFIER, "lst", @(112, 5)}
[362] {ASSIGN, ":=", @(112, 9)}
[363] {CURLY_OPEN, "{", @(112, 12)}
[364] {INT_LITERAL, "73", @(113, 9)}
[365] {COMMA, ",", @(113, 11)}
[366] {INT_LITERAL, "77", @(113, 13)}
[367] {COMMA, ",", @(113, 15)}
[368] {INT_LITERAL, "56", @(113, 17)}
[369] {COMMA, ",", @(113, 19)}
[370] {INT_LITERAL, "10", @(113, 21)}
[371] {COMMA, ",", @(113, 23)}
[372] {INT_LITERAL, "14", @(113, 25)}
[373] {COMMA, ",", @(113, 27)}
[374] {INT_LITERAL, "54", @(114, 9)}
[375] {COMMA, ",", @(114, 11)}
[376] {INT_LITERAL, "75", @(114, 13)}
[377] {COMMA, ",", @(114, 15)}
[378] {INT_LITERAL, "62", @(114, 17)}
[379] {COMMA, ",", @(114, 19)}
[380] {INT_LITERAL, "71", @(114, 21)}
[381] {COMMA, ",", @(114, 23)}
[382] {INT_LITERAL, "10", @(114, 25)}
[383] {COMMA, ",", @(114, 27)}
[384] {INT_LITERAL, "3", @(115, 10)}
[385] {COMMA, ",", @(115, 11)}
[386] {INT_LITERAL, "71", @(115, 13)}
[387] {COMMA, ",", @(115, 15)}
[388] {INT_LITERAL, "16", @(115, 17)}
[389] {COMMA, ",", @(115, 19)}
[390] {INT_LITERAL, "49", @(115, 21)}
[391] {COMMA, ",", @(115, 23)}
[392] {INT_LITERAL, "66", @(115, 25)}
[393] {COMMA, ",", @(115, 27)}
[394] {INT_LITERAL, "91", @(116, 9)}
[395] {COMMA, ",", @(116, 11)}
[396] {INT_LITERAL, "69", @(116, 13)}
[397] {COMMA, ",", @(116, 15)}
[398] {INT_LITERAL, "62", @(116, 17)}
[399] {COMMA, ",", @(116, 19)}
[400] {INT_LITERAL, "25", @(116, 21)}
[401] {COMMA, ",", @(116, 23)}
[402] {INT_LITERAL, "65", @(116, 25)}
[403] {CURLY_CLOSE, "}", @(117, 5)}
[404] {END_OF_EXPRESSION, ";", @(117, 6)}
[405] {IDENTIFIER, "Print", @(118, 5)}
[406] {PARENTHESIS_OPEN, "(", @(118, 10)}
[407] {IDENTIFIER, "lst", @(118, 11)}
[408] {PARENTHESIS_CLOSE, ")", @(118, 14)}
[409] {END_OF_EXPRESSION, ";", @(118, 15)}
[410] {IDENTIFIER, "WrLn", @(119, 5)}
[411] {PARENTHESIS_OPEN, "(", @(119, 9)}
[412] {PARENTHESIS_CLOSE, ")", @(119, 10)}
[413] {END_OF_EXPRESSION, ";", @(119, 11)}
[414] {IDENTIFIER, "one", @(120, 5)}
[415] {ASSIGN, ":=", @(120, 9)}
[416] {IDENTIFIER, "Sum", @(120, 12)}
[417] {PARENTHESIS_OPEN, "(", @(120, 15)}
[418] {IDENTIFIER, "lst", @(120, 16)}
[419] {PARENTHESIS_CLOSE, ")", @(120, 19)}
[420] {END_OF_EXPRESSION, ";", @(120, 20)}
[421] {IDENTIFIER, "two", @(121, 5)}
[422] {ASSIGN, ":=", @(121, 9)}
[423] {IDENTIFIER, "Max", @(121, 12)}
[424] {PARENTHESIS_OPEN, "(", @(121, 15)}
[425] {IDENTIFIER, "lst", @(121, 16)}
[426] {PARENTHESIS_CLOSE, ")", @(121, 19)}
[427] {END_OF_EXPRESSION, ";", @(121, 20)}
[428] {IDENTIFIER, "WrInt", @(122, 5)}
[429] {PARENTHESIS_OPEN, "(", @(122, 10)}
[430] {IDENTIFIER, "one", @(122, 11)}
[431] {PARENTHESIS_CLOSE, ")", @(122, 14)}
[432] {END_OF_EXPRESSION, ";", @(122, 15)}
[433] {IDENTIFIER, "WrLn", @(123, 5)}
[434] {PARENTHESIS_OPEN, "(", @(123, 9)}
[435] {PARENTHESIS_CLOSE, ")", @(123, 10)}
[436] {END_OF_EXPRESSION, ";", @(123, 11)}
[437] {IDENTIFIER, "WrInt", @(124, 5)}
[438] {PARENTHESIS_OPEN, "(", @(124, 10)}
[439] {IDENTIFIER, "two", @(124, 11)}
[440] {PARENTHESIS_CLOSE, ")", @(124, 14)}
[441] {END_OF_EXPRESSION, ";", @(124, 15)}
[442] {IDENTIFIER, "WrLn", @(125, 5)}
[443] {PARENTHESIS_OPEN, "(", @(125, 9)}
[444] {PARENTHESIS_CLOSE, ")", @(125, 10)}
[445] {END_OF_EXPRESSION, ";", @(125, 11)}
[446] {IDENTIFIER, "BubbleSort", @(126, 5)}
[447] {PARENTHESIS_OPEN, "(", @(126, 15)}
[448] {IDENTIFIER, "lst", @(126, 16)}
[449] {PARENTHESIS_CLOSE, ")", @(126, 19)}
[450] {END_OF_EXPRESSION, ";", @(126, 20)}
[451] {IDENTIFIER, "Print", @(127, 5)}
[452] {PARENTHESIS_OPEN, "(", @(127, 10)}
[453] {IDENTIFIER, "lst", @(127, 11)}
[454] {PARENTHESIS_CLOSE, ")", @(127, 14)}
[455] {END_OF_EXPRESSION, ";", @(127, 15)}
[456] {IDENTIFIER, "WrLn", @(128, 5)}
[457] {PARENTHESIS_OPEN, "(", @(128, 9)}
[458] {PARENTHESIS_CLOSE, ")", @(128, 10)}
[459] {END_OF_EXPRESSION, ";", @(128, 11)}
[460] {END, "end", @(129, 1)}
[461] {END_OF_EXPRESSION, ";", @(129, 4)}
[462] {EOF, "", @(130, 1)}

===== Tokens from: "test_programs/palindrome.chimera" =====
[1] {VAR, "var", @(6, 1)}
[2] {IDENTIFIER, "str", @(7, 5)}
[3] {COMMA, ",", @(7, 8)}
[4] {IDENTIFIER, "option", @(7, 10)}
[5] {TYPE_DECLARE, ":", @(7, 16)}
[6] {STRING, "string", @(7, 18)}
[7] {END_OF_EXPRESSION, ";", @(7, 24)}
[8] {PROCEDURE, "procedure", @(9, 1)}
[9] {IDENTIFIER, "IsPalindrome", @(9, 11)}
[10] {PARENTHESIS_OPEN, "(", @(9, 23)}
[11] {IDENTIFIER, "str", @(10, 9)}
[12] {TYPE_DECLARE, ":", @(10, 12)}
[13] {STRING, "string", @(10, 14)}
[14] {END_OF_EXPRESSION, ";", @(10, 20)}
[15] {PARENTHESIS_CLOSE, ")", @(11, 5)}
[16] {TYPE_DECLARE, ":", @(11, 6)}
[17] {BOOLEAN, "boolean", @(11, 8)}
[18] {END_OF_EXPRESSION, ";", @(11, 15)}
[19] {VAR, "var", @(13, 5)}
[20] {IDENTIFIER, "start", @(14, 9)}
[21] {COMMA, ",", @(14, 14)}
[22] {IDENTIFIER, "finish", @(14, 16)}
[23] {TYPE_DECLARE, ":", @(14, 22)}
[24] {INTEGER, "integer", @(14, 24)}
[25] {END_OF_EXPRESSION, ";", @(14, 31)}
[26] {BEGIN, "begin", @(16, 5)}
[27] {IDENTIFIER, "start", @(17, 9)}
[28] {ASSIGN, ":=", @(17, 15)}
[29] {INT_LITERAL, "0", @(17, 18)}
[30] {END_OF_EXPRESSION, ";", @(17, 19)}
[31] {IDENTIFIER, "finish", @(18, 9)}
[32] {ASSIGN, ":=", @(18, 16)}
[33] {IDENTIFIER, "LenStr", @(18, 19)}
[34] {PARENTHESIS_OPEN, "(", @(18, 25)}
[35] {IDENTIFIER, "str", @(18, 26)}
[36] {PARENTHESIS_CLOSE, ")", @(18, 29)}
[37] {MINUS, "-", @(18, 31)}
[38] {INT_LITERAL, "1", @(18, 33)}
[39] {END_OF_EXPRESSION, ";", @(18, 34)}
[40] {LOOP, "loop", @(20, 9)}
[41] {IF, "if", @(21, 13)}
[42] {IDENTIFIER, "start", @(21, 16)}
[43] {MORE_THAN, ">", @(21, 22)}
[44] {IDENTIFIER, "finish", @(21, 24)}
[45] {THEN, "then", @(21, 31)}
[46] {EXIT, "exit", @(21, 36)}
[47] {END_OF_EXPRESSION, ";", @(21, 40)}
[48] {END, "end", @(21, 42)}
[49] {END_OF_EXPRESSION, ";", @(21, 45)}
[50] {IF, "if", @(22, 13)}
[51] {IDENTIFIER, "CmpStr", @(22, 16)}
[52] {PARENTHESIS_OPEN, "(", @(22, 22)}
[53] {IDENTIFIER, "AtStr", @(22, 23)}
[54] {PARENTHESIS_OPEN, "(", @(22, 28)}
[55] {IDENTIFIER, "str", @(22, 29)}
[56] {COMMA, ",", @(22, 32)}
[57] {IDENTIFIER, "start", @(22, 34)}
[58] {PARENTHESIS_CLOSE, ")", @(22, 39)}
[59] {COMMA, ",", @(22, 40)}
[60] {IDENTIFIER, "AtStr", @(22, 42)}
[61] {PARENTHESIS_OPEN, "(", @(22, 47)}
[62] {IDENTIFIER, "str", @(22, 48)}
[63] {COMMA, ",", @(22, 51)}
[64] {IDENTIFIER, "finish", @(22, 53)}
[65] {PARENTHESIS_CLOSE, ")", @(22, 59)}
[66] {PARENTHESIS_CLOSE, ")", @(22, 60)}
[67] {UNEQUAL, "<>", @(22, 62)}
[68] {INT_LITERAL, "0", @(22, 65)}
[69] {THEN, "then", @(22, 67)}
[70] {RETURN, "return", @(23, 17)}
[71] {FALSE, "false", @(23, 24)}
[72] {END_OF_EXPRESSION, ";", @(23, 29)}
[73] {END, "end", @(24, 13)}
[74] {END_OF_EXPRESSION, ";", @(24, 16)}
[75] {IDENTIFIER, "start", @(25, 13)}
[76] {ASSIGN, ":=", @(25, 19)}
[77] {IDENTIFIER, "start", @(25, 22)}
[78] {PLUS, "+", @(25, 28)}
[79] {INT_LITERAL, "1", @(25, 30)}
[80] {END_OF_EXPRESSION, ";", @(25, 31)}
[81] {IDENTIFIER, "finish", @(26, 13)}
[82] {ASSIGN, ":=", @(26, 20)}
[83] {IDENTIFIER, "finish", @(26, 23)}
[84] {MINUS, "-", @(26, 30)}
[85] {INT_LITERAL, "1", @(26, 32)}
[86] {END_OF_EXPRESSION, ";", @(26, 33)}
[87] {END, "end", @(27, 9)}
[88] {END_OF_EXPRESSION, ";", @(27, 12)}
[89] {RETURN, "return", @(29, 9)}
[90] {TRUE, "true", @(29, 16)}
[91] {END_OF_EXPRESSION, ";", @(29, 20)}
[92] {END, "end", @(30, 5)}
[93] {END_OF_EXPRESSION, ";", @(30, 8)}
[94] {PROGRAM, "program", @(32, 1)}
[95] {LOOP, "loop", @(33, 5)}
[96] {IDENTIFIER, "WrStr", @(34, 9)}
[97] {PARENTHESIS_OPEN, "(", @(34, 14)}
[98] {STRING_LITERAL, ""Input a string: "", @(34, 15)}
[99] {PARENTHESIS_CLOSE, ")", @(34, 33)}
[100] {END_OF_EXPRESSION, ";", @(34, 34)}
[101] {IDENTIFIER, "str", @(35, 9)}
[102] {ASSIGN, ":=", @(35, 13)}
[103] {IDENTIFIER, "RdStr", @(35, 16)}
[104] {PARENTHESIS_OPEN, "(", @(35, 21)}
[105] {PARENTHESIS_CLOSE, ")", @(35, 22)}
[106] {END_OF_EXPRESSION, ";", @(35, 23)}
[107] {IF, "if", @(37, 9)}
[108] {IDENTIFIER, "IsPalindrome", @(37, 12)}
[109] {PARENTHESIS_OPEN, "(", @(37, 24)}
[110] {IDENTIFIER, "str", @(37, 25)}
[111] {PARENTHESIS_CLOSE, ")", @(37, 28)}
[112] {THEN, "then", @(37, 30)}
[113] {IDENTIFIER, "WrStr", @(38, 13)}
[114] {PARENTHESIS_OPEN, "(", @(38, 18)}
[115] {IDENTIFIER, "CatStr", @(38, 19)}
[116] {PARENTHESIS_OPEN, "(", @(38, 25)}
[117] {STRING_LITERAL, ""The string """", @(38, 26)}
[118] {COMMA, ",", @(38, 41)}
[119] {IDENTIFIER, "CatStr", @(38, 43)}
[120] {PARENTHESIS_OPEN, "(", @(38, 49)}
[121] {IDENTIFIER, "str", @(38, 50)}
[122] {COMMA, ",", @(38, 53)}
[123] {STRING_LITERAL, """" is a palindrome."", @(38, 55)}
[124] {PARENTHESIS_CLOSE, ")", @(38, 76)}
[125] {PARENTHESIS_CLOSE, ")", @(38, 77)}
[126] {PARENTHESIS_CLOSE, ")", @(38, 78)}
[127] {END_OF_EXPRESSION, ";", @(38, 79)}
[128] {ELSE, "else", @(39, 9)}
[129] {IDENTIFIER, "WrStr", @(40, 13)}
[130] {PARENTHESIS_OPEN, "(", @(40, 18)}
[131] {IDENTIFIER, "CatStr", @(40, 19)}
[132] {PARENTHESIS_OPEN, "(", @(40, 25)}
[133] {STRING_LITERAL, ""The string """", @(40, 26)}
[134] {COMMA, ",", @(40, 41)}
[135] {IDENTIFIER, "CatStr", @(40, 43)}
[136] {PARENTHESIS_OPEN, "(", @(40, 49)}
[137] {IDENTIFIER, "str", @(40, 50)}
[138] {COMMA, ",", @(40, 53)}
[139] {STRING_LITERAL, """" is NOT a palindrome."", @(40, 55)}
[140] {PARENTHESIS_CLOSE, ")", @(40, 80)}
[141] {PARENTHESIS_CLOSE, ")", @(40, 81)}
[142] {PARENTHESIS_CLOSE, ")", @(40, 82)}
[143] {END_OF_EXPRESSION, ";", @(40, 83)}
[144] {END, "end", @(41, 9)}
[145] {END_OF_EXPRESSION, ";", @(41, 12)}
[146] {IDENTIFIER, "WrLn", @(43, 9)}
[147] {PARENTHESIS_OPEN, "(", @(43, 13)}
[148] {PARENTHESIS_CLOSE, ")", @(43, 14)}
[149] {END_OF_EXPRESSION, ";", @(43, 15)}
[150] {IDENTIFIER, "WrStr", @(45, 9)}
[151] {PARENTHESIS_OPEN, "(", @(45, 14)}
[152] {STRING_LITERAL, ""Check another string? "", @(45, 15)}
[153] {PARENTHESIS_CLOSE, ")", @(45, 39)}
[154] {END_OF_EXPRESSION, ";", @(45, 40)}
[155] {IDENTIFIER, "option", @(46, 9)}
[156] {ASSIGN, ":=", @(46, 16)}
[157] {IDENTIFIER, "RdStr", @(46, 19)}
[158] {PARENTHESIS_OPEN, "(", @(46, 24)}
[159] {PARENTHESIS_CLOSE, ")", @(46, 25)}
[160] {END_OF_EXPRESSION, ";", @(46, 26)}
[161] {IF, "if", @(48, 9)}
[162] {IDENTIFIER, "LenStr", @(48, 12)}
[163] {PARENTHESIS_OPEN, "(", @(48, 18)}
[164] {IDENTIFIER, "option", @(48, 19)}
[165] {PARENTHESIS_CLOSE, ")", @(48, 25)}
[166] {EQUAL, "=", @(48, 27)}
[167] {INT_LITERAL, "0", @(48, 29)}
[168] {THEN, "then", @(48, 31)}
[169] {IDENTIFIER, "option", @(49, 13)}
[170] {ASSIGN, ":=", @(49, 20)}
[171] {STRING_LITERAL, ""N"", @(49, 23)}
[172] {END_OF_EXPRESSION, ";", @(49, 26)}
[173] {ELSE, "else", @(50, 9)}
[174] {IDENTIFIER, "option", @(51, 13)}
[175] {ASSIGN, ":=", @(51, 20)}
[176] {IDENTIFIER, "AtStr", @(51, 23)}
[177] {PARENTHESIS_OPEN, "(", @(51, 28)}
[178] {IDENTIFIER, "option", @(51, 29)}
[179] {COMMA, ",", @(51, 35)}
[180] {INT_LITERAL, "0", @(51, 37)}
[181] {PARENTHESIS_CLOSE, ")", @(51, 38)}
[182] {END_OF_EXPRESSION, ";", @(51, 39)}
[183] {END, "end", @(52, 9)}
[184] {END_OF_EXPRESSION, ";", @(52, 12)}
[185] {IF, "if", @(54, 9)}
[186] {IDENTIFIER, "CmpStr", @(54, 12)}
[187] {PARENTHESIS_OPEN, "(", @(54, 18)}
[188] {IDENTIFIER, "option", @(54, 19)}
[189] {COMMA, ",", @(54, 25)}
[190] {STRING_LITERAL, ""Y"", @(54, 27)}
[191] {PARENTHESIS_CLOSE, ")", @(54, 30)}
[192] {UNEQUAL, "<>", @(54, 32)}
[193] {INT_LITERAL, "0", @(54, 35)}
[194] {AND, "and", @(54, 37)}
[195] {IDENTIFIER, "CmpStr", @(54, 41)}
[196] {PARENTHESIS_OPEN, "(", @(54, 47)}
[197] {IDENTIFIER, "option", @(54, 48)}
[198] {COMMA, ",", @(54, 54)}
[199] {STRING_LITERAL, ""y"", @(54, 56)}
[200] {PARENTHESIS_CLOSE, ")", @(54, 59)}
[201] {UNEQUAL, "<>", @(54, 61)}
[202] {INT_LITERAL, "0", @(54, 64)}
[203] {THEN, "then", @(54, 66)}
[204] {EXIT, "exit", @(55, 13)}
[205] {END_OF_EXPRESSION, ";", @(55, 17)}
[206] {END, "end", @(56, 9)}
[207] {END_OF_EXPRESSION, ";", @(56, 12)}
